Sno,Customer_ID,Product_ID,Return_Type,Amount,Difference_days,Rating
0,9236104,X-6027,1,279,2,2
1,9236148,X-2269,0,331,2,4
2,9236118,XDD-7032,0,404,4,1.9
3,9236156,X-6055,0,322,4,3.5
4,9236118,XDD-1028,0,299,3,2.3
5,9236108,XDD-7092,0,389,2,3.5
6,9236134,HMTS-B9036,0,1276,3,1.9
7,9236082,C031,1,0,0,2.7
8,9236119,X1165KL01,0,302,6,2.9
9,9236189,X-2265,0,589,2,2.8
10,9236074,X1158MS-Black,0,371,4,2.5
11,9236094,X-2285,0,371,3,4.2
12,9236030,XDD-7040,0,289,6,4.7
13,9236055,X-6055,0,549,3,3.5
14,9236074,XDD-8005,0,239,2,2.6
15,9236026,XDD-7043,1,569,2,1.7
16,9236184,HM-GG9013,1,0,0,2.8
17,9236052,XDD-7032,0,279,4,1.9
18,9236076,XDD-7051,1,300,3,2.2
19,9236075,X-2287,0,279,6,2.1
20,9236074,X-2283,0,389,6,3.9
21,9236003,X-6019,0,719,2,3.8
22,9236198,C029,0,239,4,1.9
23,9236181,C029,1,260,3,1.9
24,9236188,X-6001,1,319,3,2.8
25,9236078,X1182MS-Black,0,609,3,4.6
26,9236118,X-2283,1,331,4,3.9
27,9236029,X-2277,0,329,3,2
28,9236182,X-2283,0,289,2,3.9
29,9236170,X-6015,0,394,4,3.2
30,9236113,HMTG-TT9018,1,0,0,4.3
31,9236083,HMTG-TT9009,0,260,3,3.3
32,9236194,X-2231,0,286,6,2
33,9236139,X-6001,0,239,2,2.8
34,9236076,X-2257,1,300,3,2.8
35,9236085,XDD-1028,1,300,1,2.3
36,9236188,XDD-7031,0,374,3,2.1
37,9236019,X-1121,0,301,2,2.3
38,9236171,HMTS-B9022,1,265,3,1.5
39,9236166,HM-GS9005,1,531,9,4.7
40,9236032,X-2277,1,305,2,2
41,9236189,XB-2231,0,300,4,3.7
42,9236089,HMTG-G9016,0,260,3,2.5
43,9236035,C029,0,352,4,1.9
44,9236033,XDD-7039,0,371,3,4
45,9236034,X-2116,0,300,3,2.9
46,9236142,X-7053,0,256,2,2
47,9236176,X1115SM01,0,349,5,2.9
48,9236028,XDD-7041,0,371,3,1.5
49,9236197,C035,0,559,4,3.6
50,9236130,X-2280,0,339,2,1.8
51,9236047,X-6055,0,371,3,3.5
52,9236102,XDD-8005,0,300,2,2.6
53,9236158,X-1116SL01,0,262,4,2
54,9236193,XB-2262,0,262,3,2
55,9236098,XDD-7081,0,531,3,3.2
56,9236044,XDD-7081,1,389,3,3.2
57,9236012,XDD-7052,0,392,3,1.6
58,9236167,X-3003,0,239,3,2.8
59,9236113,XDD-7092,0,302,4,3.5
60,9236105,X-2283,0,540,4,3.9
61,9236061,X3503WWS,0,249,4,2.6
62,9236131,XDD-7018,0,279,2,4.5
63,9236087,X-6019,0,289,3,3.8
64,9236150,X-2290,1,678,3,3
65,9236077,X-2293,1,199,3,1.9
66,9236110,X-2270,0,371,2,2.7
67,9236007,XDD-7051,1,300,3,2.2
68,9236079,C031,0,394,2,2.7
69,9236183,X-6055,0,331,3,3.5
70,9236044,X3503WWS,0,302,2,2.6
71,9236022,C035,1,0,0,3.6
72,9236119,XDD-8005,0,301,5,2.6
73,9236142,XDD-7036,1,531,3,4.7
74,9236024,XDD-7013,0,239,3,2.1
75,9236108,HMTG-TT9033,0,260,1,2.8
76,9236068,X-6015,0,371,3,3.2
77,9236172,XDD-7013,0,331,3,2.1
78,9236103,X-1201,0,300,3,2.2
79,9236149,HM-GG9008,0,300,3,3.6
80,9236039,XDD-7062,0,564,6,3.5
81,9236060,XDD-7051,0,371,3,2.2
82,9236047,XDD-7051,0,389,2,2.2
83,9236111,HMTS-B9022,0,261,2,1.5
84,9236069,HMTG-G9011,1,239,6,2.6
85,9236148,X-2258,0,336,5,1.5
86,9236078,HMTG-TT9033,0,301,5,2.8
87,9236126,HM-GG9013,1,0,0,2.8
88,9236197,XDD-7071,1,239,5,3.4
89,9236153,X1182MS-Black,0,249,4,4.6
90,9236105,X-6005,0,300,13,3.5
91,9236156,X-2231,0,260,2,2
92,9236181,HMTS-B9037,1,564,5,2.6
93,9236020,HM-SB9003,0,343,3,2.8
94,9236153,X-2287,0,371,2,2.1
95,9236014,XDD-7035,0,261,5,4.3
96,9236082,X-2273,1,300,6,2.2
97,9236009,XDD-7013,0,300,4,2.1
98,9236086,HMTS-S9020,1,371,3,4.7
99,9236185,X-6010,0,371,7,4.4
100,9236165,X-2283,0,314,2,3.9
101,9236182,HMTG-TT9009,0,371,2,3.3
102,9236085,X-2286,1,742,2,1.9
103,9236049,X1158MS-Black,0,389,3,2.5
104,9236007,XDD-7036,0,289,5,4.7
105,9236199,HM-GB9006,0,392,4,4.2
106,9236079,XDD-7062,0,341,3,3.5
107,9236086,HMTS-B9036,0,322,8,1.9
108,9236025,X1165KL01,0,256,3,2.9
109,9236096,C022,0,300,3,4.1
110,9236186,XDD-7062,1,239,4,3.5
111,9236121,X-7053,0,279,2,2
112,9236156,HMTS-S9020,0,260,3,4.7
113,9236064,XDD-7081,0,629,3,3.2
114,9236008,XDD-7044,1,300,3,3.8
115,9236000,X-2276,0,289,3,3.7
116,9236026,XDD-7019,0,336,3,4.5
117,9236078,X-2291,1,609,4,4.1
118,9236027,HMTS-B9024,0,239,3,2.8
119,9236098,X-2261,0,271,6,2
120,9236093,HMTS-B9037,0,300,3,2.6
121,9236160,C041,0,531,2,2
122,9236110,X-6019,0,302,2,3.8
123,9236101,X-2292,0,531,3,2.1
124,9236194,XDD-7043,0,0,0,1.7
125,9236027,X-2287,0,302,4,2.1
126,9236175,C007,0,260,2,3.2
127,9236028,XDD-7072,0,314,3,4.6
128,9236108,AXE-1143NL01,0,371,3,2.3
129,9236014,HMTS-S9021,0,371,3,2.7
130,9236151,X-2261,0,300,3,2
131,9236017,HMTS-B9024,0,289,2,2.8
132,9236102,XDD-7062,0,309,8,3.5
133,9236137,HMTS-S9020,0,371,4,4.7
134,9236112,X-6006,0,239,2,3.8
135,9236012,X1158MS-Black,0,300,4,2.5
136,9236129,X-3003,0,256,2,2.8
137,9236199,C022,0,300,3,4.1
138,9236002,X-2261,1,259,3,2
139,9236005,X-6019,1,305,3,3.8
140,9236156,XDD-7035,0,199,6,4.3
141,9236171,XDD-7052,0,371,5,1.6
142,9236113,HMTS-S9021,0,338,2,2.7
143,9236119,X-2269,0,300,3,4
144,9236006,XDD-7039,0,399,3,4
145,9236196,X-2283,0,349,3,3.9
146,9236029,X-2291,0,389,2,4.1
147,9236044,HM-GS9005,1,329,3,4.7
148,9236121,HMTG-TT9018,0,371,4,4.3
149,9236102,X-6008,0,336,3,3.7
150,9236172,X-2269,0,300,1,4
151,9236018,XDD-7013,0,300,3,2.1
152,9236175,HM-GG9013,0,289,3,2.8
153,9236034,X-2266,0,256,3,3.6
154,9236029,XDD-7062,0,592,9,3.5
155,9236163,HMTS-B9024,1,0,0,2.8
156,9236057,XDD-7057,0,322,6,2.1
157,9236031,X-6005,0,569,2,3.5
158,9236083,X-2290,1,260,3,3
159,9236076,XDD-7013,0,303,4,2.1
160,9236086,X-7053,0,609,4,2
161,9236029,HM-GG9501,0,260,3,2.6
162,9236178,HMTB-TT9028,0,389,3,4.2
163,9236104,C007,0,339,4,3.2
164,9236171,HMTG-TT9033,0,239,3,2.8
165,9236044,X-6005,1,300,3,3.5
166,9236105,XDD-7073,0,300,3,4.4
167,9236042,XDD-7065,0,336,3,3.8
168,9236143,XDD-7071,0,239,4,3.4
169,9236118,HM-GG9501,1,331,2,2.6
170,9236060,XDD-7064,0,260,5,2.6
171,9236097,AXE-1143NL01,0,304,2,2.3
172,9236105,XDD-7062,0,371,4,3.5
173,9236035,X-2291,0,319,3,4.1
174,9236056,X-2257,0,300,5,2.8
